Date,Open,High,Low,Close
03/24/2025,"1.0878","1.0878","1.0783","1.0802"
03/21/2025,"1.0853","1.0863","1.0801","1.0822"
03/20/2025,"1.0904","1.0920","1.0815","1.0854"
03/19/2025,"1.0945","1.0949","1.0861","1.0905"
03/18/2025,"1.0923","1.0957","1.0895","1.0946"
03/17/2025,"1.0923","1.0932","1.0870","1.0924"
03/14/2025,"1.0854","1.0913","1.0825","1.0879"
03/13/2025,"1.0888","1.0899","1.0823","1.0855"
03/12/2025,"1.0919","1.0929","1.0877","1.0889"
03/11/2025,"1.0835","1.0949","1.0832","1.0920"
03/10/2025,"1.0836","1.0878","1.0807","1.0836"
03/07/2025,"1.0787","1.0890","1.0782","1.0834"
03/06/2025,"1.0792","1.0854","1.0767","1.0788"
03/05/2025,"1.0624","1.0799","1.0603","1.0790"
03/04/2025,"1.0488","1.0629","1.0472","1.0627"
03/03/2025,"1.0380","1.0506","1.0380","1.0489"
02/28/2025,"1.0401","1.0422","1.0361","1.0378"
02/27/2025,"1.0484","1.0495","1.0397","1.0399"
02/26/2025,"1.0516","1.0528","1.0476","1.0486"
02/25/2025,"1.0468","1.0522","1.0457","1.0515"
02/24/2025,"1.0467","1.0531","1.0454","1.0469"
02/21/2025,"1.0501","1.0508","1.0450","1.0461"
02/20/2025,"1.0425","1.0506","1.0419","1.0503"
02/19/2025,"1.0447","1.0464","1.0402","1.0424"
02/18/2025,"1.0484","1.0489","1.0436","1.0446"
02/17/2025,"1.0498","1.0509","1.0468","1.0486"
02/14/2025,"1.0467","1.0516","1.0448","1.0493"
02/13/2025,"1.0389","1.0469","1.0375","1.0468"
02/12/2025,"1.0362","1.0430","1.0318","1.0384"
02/11/2025,"1.0309","1.0383","1.0292","1.0363"
02/10/2025,"1.0334","1.0339","1.0282","1.0308"
02/07/2025,"1.0386","1.0408","1.0307","1.0330"
02/06/2025,"1.0404","1.0409","1.0354","1.0385"
02/05/2025,"1.0380","1.0443","1.0371","1.0403"
02/04/2025,"1.0344","1.0390","1.0273","1.0381"
02/03/2025,"1.0363","1.0363","1.0209","1.0345"
01/31/2025,"1.0392","1.0435","1.0352","1.0362"
01/30/2025,"1.0420","1.0469","1.0388","1.0393"
01/29/2025,"1.0433","1.0446","1.0384","1.0423"
01/28/2025,"1.0494","1.0497","1.0415","1.0432"
01/27/2025,"1.0506","1.0533","1.0455","1.0493"
01/24/2025,"1.0419","1.0523","1.0413","1.0504"
01/23/2025,"1.0412","1.0441","1.0378","1.0418"
01/22/2025,"1.0434","1.0459","1.0395","1.0410"
01/21/2025,"1.0416","1.0437","1.0343","1.0430"
01/20/2025,"1.0306","1.0435","1.0267","1.0418"
01/17/2025,"1.0301","1.0332","1.0263","1.0276"
01/16/2025,"1.0290","1.0318","1.0263","1.0303"
01/15/2025,"1.0310","1.0353","1.0261","1.0292"
01/14/2025,"1.0243","1.0311","1.0239","1.0309"
01/13/2025,"1.0258","1.0258","1.0179","1.0246"
01/10/2025,"1.0301","1.0341","1.0216","1.0255"
01/09/2025,"1.0318","1.0324","1.0285","1.0302"
01/08/2025,"1.0345","1.0360","1.0275","1.0320"
01/07/2025,"1.0389","1.0437","1.0340","1.0342"
01/06/2025,"1.0315","1.0437","1.0296","1.0391"
01/03/2025,"1.0269","1.0312","1.0257","1.0309"
01/02/2025,"1.0356","1.0391","1.0230","1.0267"
01/01/2025,"1.0357","1.0364","1.0352","1.0360"
